chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
Styrene,True,0.91,NR,NR,200,70,212,500,480,NR,ND,500,500,500,ND,70,300
Sulfamic Acid,False,,NR,250,200,ND,212,500,100,ND,NR,ND,500,500,NR,70,300
Sulfur Dichloride,False,,ND,NR,75,ND,ND,450,ND,ND,ND,ND,500,500,NR,70,300
"Sulfur Dioxide, Wet, 10-80%",False,,212,140,257,200,300,500,212,212,ND,ND,500,500,140,140,300
"Sulfur Dioxide, Wet, 100%",False,,212,140,257,200,300,500,575,700,70,70,500,500,140,140,300
"Sulfuric Acid, 10%",False,1.07,212,212,287,250,300,500,NR,165,70,640,500,500,176,212,400
"Sulfuric Acid, 20%",False,1.14,212,180,287,250,300,500,NR,165,NR,640,500,500,140,212,400
"Sulfuric Acid, 3%",False,1.03,250,212,287,250,300,500,NR,165,140,340,500,500,140,212,400
"Fo Sulfuric Acid, 30%",False,1.22,212,180,287,250,300,500,NR,60,NR,640,500,500,176,212,400
"Sulfuric Acid, 33%",False,1.24,212,176,287,250,300,500,NR,60,NR,640,500,500,176,212,400
"Sulfuric Acid, 50%",False,1.4,212,176,287,250,300,500,NR,165,NR,640,500,500,176,212,400
"Sulfuric Acid, 60%",False,1.5,212,176,287,250,300,500,NR,165,NR,640,500,500,176,176,400
"Sulfuric Acid, 70%",False,1.61,185,NR,257,220,300,500,NR,90,NR,640,500,500,176,176,400
"Sulfuric Acid, 80%",False,1.73,185,NR,257,220,300,500,NR,180,NR,340,500,500,140,158,400
"Sulfuric Acid, 85%",False,1.78,160,NR,212,220,300,500,NR,180,NR,340,500,500,104,158,400
"Sulfuric Acid, 90%",False,1.81,150,NR,212,220,300,500,NR,210,NR,300,500,500,70,158,400
"Sulfuric Acid, 93%",False,1.83,150,NR,200,220,300,500,NR,210,NR,160,500,500,70,158,400
"Sulfuric Acid, 95%",False,1.83,170,NR,180,220,300,500,NR,210,NR,160,500,500,NR,158,400
"Sulfuric Acid, 96%",False,1.84,130,NR,175,220,300,500,NR,210,NR,220,500,500,NR,158,400
"Sulfuric Acid, 98%",False,1.84,104,NR,140,220,300,500,NR,210,NR,220,500,500,NR,158,400
"Sulfuric Acid, 100%",False,1.83,NR,NR,NR,220,300,500,125,350,NR,NR,500,500,NR,158,400
